country	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Burkina Faso	0.3	61.7	0.166	7.32	21.3	21.6	131	131	3.9	4.07	20.3	39.8	274000	0	42	0.134	1920	0.194
Burundi	0.134	61.5	NA	9.65	21.5	21.3	134	134	3.95	4.13	7.91	20.7	25700	6	22	0.389	613	0.458
Cambodia	0.238	69.9	0.236	4.71	20.8	21.7	118	118	4.36	4.55	16.8	45.2	177000	2	21	0.187	4510	0.592
Cameroon	0.57	63	0.074	7.9	23.7	24.9	127	127	4.07	4.29	18.2	61.3	473000	-4	25	0.311	3520	0.391
Canada	0.815	82	0.216	10.2	27.4	26.7	118	118	5.09	5.14	3680	5220	9090000	10	82	0.336	44900	0.993
Cape Verde	0.662	75.8	NA	4.98	23.5	25	133	133	4.25	4.34	116	155	4030	10	55	0.25	7440	0.739
Central African Republic	0.418	51.9	NA	3.17	21	22.4	131	131	4.06	4.26	6.44	18.2	623000	-1	23	0.0857	841	NA
Chad	0.233	60	0.094	4.39	21.5	21.9	128	128	3.91	4.1	7.65	30.6	1260000	-2	20	0.154	1830	0.0834
Chile	0.876	79.7	0.379	8.81	27	27.9	126	126	4.97	5	456	947	744000	10	67	0.227	23800	1
China	0.603	77.1	0.318	5.56	22.9	22.9	124	124	4.5	4.61	118	221	9390000	-7	41	0.249	19100	0.848
Colombia	0.811	80.1	NA	6.59	24.9	26.2	124	124	4.77	4.87	343	472	1110000	7	37	0.196	14400	0.896
Comoros	0.292	68.6	0.207	0.28	22.1	22.4	132	132	4.18	4.32	22.3	33.2	1860	9	27	0.167	2540	0.359
Congo, Dem. Rep.	0.45	62.4	0.081	3.39	19.9	21.7	129	129	3.78	4.01	6.7	15.8	2270000	5	21	0.143	848	0.205
Congo, Rep.	0.674	62.6	0.066	NA	21.9	23.1	132	132	4.3	4.51	33.8	72.3	342000	-4	21	0.136	5080	0.202
Costa Rica	0.801	79.5	0.168	5.81	26.5	27	121	121	4.66	4.9	553	811	51100	10	59	0.456	16300	0.978
Cote d'Ivoire	0.512	62.5	0.09	6.47	22.6	23.8	132	132	4.04	4.24	12.9	59.8	318000	0	36	0.136	4270	0.321
Croatia	0.572	78.5	0.34	15	26.6	25.2	130	130	4.97	5.03	905	1070	56000	9	49	0.311	26200	0.965
Cuba	0.771	78.4	0.359	5.12	25.1	26.6	126	126	4.38	4.67	555	607	104000	-7	47	0.532	8620	0.928
Cyprus	0.668	81.7	NA	8.84	27.4	25.9	123	123	5.23	5.19	708	1710	9240	10	57	0.196	35700	0.992
Czech Republic	0.739	79.2	0.31	16.5	27.9	26.5	126	126	5.11	5.13	1240	1480	77200	8	57	0.203	35900	0.991
Denmark	0.88	80.8	0.334	12	26.1	25.1	120	120	5.52	5.42	5470	6420	42000	10	88	0.397	49500	0.996
Djibouti	0.779	67.3	NA	1.87	23.4	24.4	129	129	4.64	4.66	59.8	91.7	23200	2	31	0.261	3830	0.636
Dominica	0.708	72.8	NA	8.68	24.6	28.8	131	131	4.51	4.88	292	419	750	NA	57	0.344	11300	NA
Dominican Republic	0.818	73.1	0.154	6.28	25.2	26.9	126	126	4.38	4.68	140	323	48300	8	29	0.257	17800	0.839
Ecuador	0.64	76.7	0.149	9.43	25.6	27.1	123	123	4.67	4.82	122	328	248000	5	32	0.394	10100	0.88
Egypt	0.427	70.6	0.151	0.32	26.7	30.1	125	125	4.56	4.92	46.1	123	995000	-2	32	0.151	12200	0.942
El Salvador	0.727	74	NA	3.99	26.4	27.8	120	120	4.47	4.71	146	237	20700	8	33	0.333	7710	0.874
Equatorial Guinea	0.726	65.5	NA	6.12	23.8	24.5	132	132	4.68	4.82	681	896	28100	-5	17	0.192	16200	0.663
