Country	Cases	Deaths	Population	continent	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Congo (Kinshasa)	29812	763	89561404	Africa	0.45	62.4	0.081	3.39	19.9	21.7	129	129	3.78	4.01	6.7	15.8	2270000	5	21	0.143	848	0.205
Costa Rica	248382	3217	5094114	Americas	0.801	79.5	0.168	5.81	26.5	27	121	121	4.66	4.9	553	811	51100	10	59	0.456	16300	0.978
Cote d'Ivoire	45998	286	26378275	Africa	0.512	62.5	0.09	6.47	22.6	23.8	132	132	4.04	4.24	12.9	59.8	318000	0	36	0.136	4270	0.321
Croatia	330176	7040	4105268	Europe	0.572	78.5	0.34	15	26.6	25.2	130	130	4.97	5.03	905	1070	56000	9	49	0.311	26200	0.965
Cuba	105661	632	11326616	Americas	0.771	78.4	0.359	5.12	25.1	26.6	126	126	4.38	4.67	555	607	104000	-7	47	0.532	8620	0.928
Cyprus	65233	308	1207361	Asia	0.668	81.7	0.247484375	8.84	27.4	25.9	123	123	5.23	5.19	708	1710	9240	10	57	0.196	35700	0.992
Czechia	1628536	29213	10708982	Europe	0.739	79.2	0.31	16.5	27.9	26.5	126	126	5.11	5.13	1240	1480	77200	8	57	0.203	35900	0.991
Denmark	251248	2484	5792203	Europe	0.88	80.8	0.334	12	26.1	25.1	120	120	5.52	5.42	5470	6420	42000	10	88	0.397	49500	0.996
Djibouti	11026	143	988002	Africa	0.779	67.3	0.247484375	1.87	23.4	24.4	129	129	4.64	4.66	59.8	91.7	23200	2	31	0.261	3830	0.636
Dominica	174	0	71991	Americas	0.708	72.8	0.247484375	8.68	24.6	28.8	131	131	4.51	4.88	292	419	750	3.9751552795031055	57	0.344	11300	0.7570138297872341
Dominican Republic	266214	3471	10847904	Americas	0.818	73.1	0.154	6.28	25.2	26.9	126	126	4.38	4.68	140	323	48300	8	29	0.257	17800	0.839
Ecuador	380689	18552	17643060	Americas	0.64	76.7	0.149	9.43	25.6	27.1	123	123	4.67	4.82	122	328	248000	5	32	0.394	10100	0.88
Egypt	226531	13278	102334403	Africa	0.427	70.6	0.151	0.32	26.7	30.1	125	125	4.56	4.92	46.1	123	995000	-2	32	0.151	12200	0.942
El Salvador	69198	2120	6486201	Americas	0.727	74	0.247484375	3.99	26.4	27.8	120	120	4.47	4.71	146	237	20700	8	33	0.333	7710	0.874
Equatorial Guinea	7694	112	1402985	Africa	0.726	65.5	0.247484375	6.12	23.8	24.5	132	132	4.68	4.82	681	896	28100	-5	17	0.192	16200	0.663
Eritrea	3671	10	3546427	Africa	0.5914300518134715	62.7	0.091	1.64	20.9	21.1	126	126	4.11	4.17	5.74	11.9	101000	-7	20	0.23723193717277488	1450	0.7570138297872341
Estonia	121657	1158	1326539	Europe	0.691	78.1	0.388	17.2	26.3	25.2	130	130	5.16	5.23	671	853	43500	9	71	0.287	33800	0.991
Eswatini	18458	671	1160164	Africa	0.24	59.9	0.089	5.05	23.2	28.4	132	132	4.4	4.55	129	203	17200	-9	39	0.184	9470	0.584
Ethiopia	256418	3658	114963583	Africa	0.212	68.4	0.043	4.1	20.3	20.7	127	127	4.11	4.18	8.41	15.7	1000000	1	35	0.373	2110	0.0732
Fiji	116	2	896444	Oceania	0.568	68.1	0.144	2.76	26.5	29.3	128	128	5.16	5.03	108	154	18300	-4	42.7909604519774	0.196	10500	0.951
Finland	86613	913	5540718	Europe	0.854	81.4	0.281	13.1	26.7	25.6	127	127	5.18	5.34	2990	3980	304000	10	85	0.46	43500	0.994
France	5653533	104385	65273512	Europe	0.807	82.8	0.317	12.5	25.9	24.8	120	120	5.36	5.33	3650	4690	548000	9	70	0.372	40800	0.987
Gabon	22818	138	2225728	Africa	0.897	68.4	0.247484375	9.46	24.1	25.9	130	130	4.72	4.9	160	302	258000	3	32	0.161	16900	0.474
Gambia	5887	174	2416664	Africa	0.619	65.8	0.162	3.58	21.6	24.8	130	130	4	4.23	13.3	26.1	10100	-5	30	0.0862	1660	0.392
Georgia	308834	4095	3989175	Asia	0.59	72.8	0.319	6.66	25.6	26.4	131	131	4.6	4.71	64.2	272	69500	6	56	0.141	11800	0.9
Germany	3391039	82865	83783945	Europe	0.774	80.6	0.316	12.1	27.2	25.7	125	125	5.56	5.37	3600	4670	349000	10	81	0.316	47400	0.992
Ghana	92562	779	31072945	Africa	0.567	65.5	0.055	3.11	22.8	24.3	128	128	3.88	4.17	39.9	67	228000	8	40	0.131	4710	0.185
Greece	342908	10315	10423056	Europe	0.794	81	0.518	11	26.3	24.9	123	123	4.99	4.93	1620	2730	129000	10	48	0.217	26900	0.99
Grenada	160	1	112519	Americas	0.364	74.1	0.247484375	10.7	25.2	27.3	126	126	4.45	4.71	198	439	340	3.9751552795031055	52	0.393	15000	0.915
Guatemala	226247	7500	17915567	Americas	0.514	72.6	0.144	7.1	25.3	26.8	121	121	4.22	4.54	68.7	197	107000	8	28	0.194	7850	0.651
Guinea	22215	144	13132792	Africa	0.365	60.7	0.247484375	0.79	22.5	22.4	132	132	3.92	4.16	2.6	23	246000	5	27	0.167	2580	0.227
Guinea-Bissau	3733	67	1967998	Africa	0.438	60	0.247484375	3.9	21.6	22.9	131	131	3.87	4.06	4.7	46.9	28100	6	17	0.137	1720	0.205
Guyana	13106	295	786559	Americas	0.267	69.2	0.247484375	8.7	23.7	26.5	125	125	4.1	4.39	136	159	197000	6	38	0.357	8480	0.858
Haiti	13017	254	11402533	Americas	0.562	65	0.247484375	5.92	23.7	23.3	125	125	4.07	4.36	9.95	46.4	27600	0	22	0	1650	0.347
