Country	Cases	Deaths	Population	continent	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Sudan	33944	2349	43849269	Africa	0.349	70.3	0.247484375	2.56	22.4	23.2	130	130	4.52	4.54	25	83.9	664305.219895288	-2	16	0.23723193717277488	4580	0.366
Suriname	10286	201	586634	Americas	0.661	72	0.247484375	6.56	25.5	27.8	125	125	4.51	4.75	235	492	156000	5	41	0.294	14300	0.845
Sweden	967678	14002	10099270	Europe	0.877	82.5	0.22	9.5	26.4	25.1	123	123	5.15	4.96	3820	4710	407000	10	84	0.47	48000	0.993
Switzerland	658143	10625	8654618	Europe	0.738	84	0.265	11.4	26.2	24.1	120	120	5.29	5.24	4610	7810	39500	10	85	0.386	59300	0.999
Syria	22631	1583	17500657	Asia	0.548	69.8	0.247484375	1.49	26.9	28.9	127	127	4.66	4.83	44.4	96.6	184000	-7	14	0.112	2930	0.912
Tajikistan	13308	90	9537642	Asia	0.273	70.3	0.247484375	3.39	23.8	23.9	130	130	4.17	4.32	13.1	49.1	139000	-3	21	0.234	3310	0.97
Tanzania	509	21	59734213	Africa	0.345	66.7	0.146	7.86	22.5	23.1	131	131	4.13	4.32	20.8	30.9	886000	-1	36	0.369	3150	0.299
Thailand	63570	188	69799978	Asia	0.507	78.1	0.217	7.08	23	24.4	121	121	4.99	5.12	134	179	511000	7	37	0.139	18500	0.988
Timor-Leste	2190	3	1318442	Asia	0.309	70.8	0.247484375	0.74	20.6	21.5	123	123	4.2	4.4	31.7	56.9	14900	7	38	0.385	6090	0.535
Togo	12931	123	8278737	Africa	0.422	64.4	0.247484375	1.92	21.9	22.7	131	131	3.86	4.07	18	40.6	54400	-2	32	0.187	1700	0.161
Trinidad and Tobago	10498	165	1399491	Americas	0.532	74.2	0.221	6.16	26.4	28.3	125	125	4.62	4.81	516	861	5130	10	41	0.324	29400	0.934
Tunisia	307215	10641	11818618	Africa	0.693	78.3	0.266	1.05	25.2	27.9	129	129	4.63	4.87	129	238	155000	3.9751552795031055	42	0.249	11500	0.909
Turkey	4788700	39737	84339067	Asia	0.756	78.9	0.355	3.02	26.7	28.3	124	124	4.69	4.8	510	678	770000	9	40	0.173	25900	0.973
Uganda	41797	342	45741000	Africa	0.244	65.7	0.121	16.4	22.4	22.5	135	135	4.07	4.28	10.2	46.7	201000	-1	26	0.349	1980	0.185
Ukraine	2113880	45607	43733759	Europe	0.695	70.5	0.247484375	17.5	25.4	26.2	132	132	4.8	4.88	133	234	579000	6	30	0.208	9080	0.962
United Arab Emirates	518262	1584	9890400	Asia	0.868	73.3	0.144	0.52	28.1	29.6	122	122	5.18	5.28	1080	1450	71000	-8	71	0.5	65100	0.986
United Kingdom	4429849	127759	67886004	Europe	0.837	81	0.357	13.2	27.4	26.9	124	124	5.42	5.37	2940	3500	242000	10	82	0.3	41200	0.991
Uruguay	195734	2563	3473727	Americas	0.954	77	0.326	8.99	26.4	26.6	124	124	4.81	4.79	669	998	175000	10	70	0.231	21900	0.966
US	32289049	575194	329466283	Americas	0.825	78.6	0.239	9.7	28.5	28.3	119	119	5.07	5.15	4440	8360	9150000	10	75	0.237	58200	1
Uzbekistan	90406	647	33469199	Asia	0.504	70.3	0.128	3.61	25.3	25.4	124	124	4.26	4.41	39.1	82.4	425000	-9	22	0.291	7100	1
Vanuatu	4	1	292680	Oceania	0.254	64.7	0.288	0.96	26.8	28.5	132	132	4.61	4.74	143	157	12200	3.9751552795031055	43	0	2930	0.341
Venezuela	196386	2117	28435943	Americas	0.882	75.3	0.298	7.6	27.4	28.1	124	124	4.54	4.84	232	663	882000	-3	18	0.222	8600	0.939
Vietnam	2910	35	97338583	Asia	0.366	74.5	0.243	3.91	20.9	21.1	122	122	4.52	4.68	31.4	82.9	310000	-7	35	0.267	7760	0.835
West Bank and Gaza	295601	3231	5101416	Asia	0.764	76.8	0.247484375	6.707608695652174	26.6	29	127	127	4.48	4.65	729.5684324324325	1030.9251366120218	6020	3.9751552795031055	42.7909604519774	0.23723193717277488	4700	0.969
Yemen	6294	1222	29825968	Asia	0.373	68.1	0.247484375	0.2	24.4	26.1	126	126	4.45	4.58	15.3	63.2	528000	-2	16	0.0097	2580	0.591
Zambia	91533	1250	18383956	Africa	0.441	63.2	0.134	3.56	20.7	23.1	132	132	4.34	4.46	43.9	72.9	743000	7	37	0.168	3600	0.264
Zimbabwe	38235	1567	14862927	Africa	0.322	61.4	0.15	4.96	22	24.6	132	132	4.13	4.33	729.5684324324325	1030.9251366120218	387000	1	22	0.346	2420	0.362
