y_names	term	estimate	std.error	conf.low	conf.high
FatalityRate	(Intercept)	-20.50918255009153	12.31625329020232	-44.826955038042385	3.808589937859324
FatalityRate	continentAmericas	1.6912202731092503	0.9402012414745028	-0.1651559595275114	3.5475965057460117
FatalityRate	continentAsia	0.49301212272509093	0.8290225174363981	-1.1438477640753881	2.12987200952557
FatalityRate	continentEurope	1.328173575111545	1.0160492115271418	-0.6779603505470271	3.3343075007701173
FatalityRate	continentOceania	1.5678686831569926	1.3418718342476312	-1.081584296117288	4.217321662431273
FatalityRate	UrbanPop	-0.8781356278355682	1.1933950609733646	-3.2344292909482557	1.478158035277119
FatalityRate	LifeExp	0.05548614847143065	0.062340538976348586	-0.06760185628802445	0.17857415323088574
FatalityRate	Smoking	2.370188666311283	2.8695939811228963	-3.2956686298562126	8.036045962478779
FatalityRate	AlcConsump	-0.09663447777633541	0.05495721301269966	-0.20514450685131627	0.011875551298645454
FatalityRate	SBP_m	-0.11737311510736115	0.12600814345835684	-0.3661693433147674	0.13142311310004512
FatalityRate	SBP_f	0.20834941210321423	0.1219741873319046	-0.03248198905833405	0.4491808132647625
FatalityRate	cholesterol_m	2.25951564135757	2.6477293293850908	-2.968281962714248	7.487313245429388
FatalityRate	cholesterol_f	-0.3493731834387648	3.098119291872302	-6.466441280780926	5.767694913903397
FatalityRate	BMI_m	5.092600636244331e-4	0.2678870478987918	-0.5284191510184928	0.5294376711457416
FatalityRate	BMI_f	0.10504553005629091	0.20211563350136158	-0.29402079928382535	0.5041118593964071
FatalityRate	GovtHealthUSD_pp	-1.2823515446491182e-4	8.476281954628661e-4	-0.0018018309409396564	0.0015453606320098329
FatalityRate	TotHealthUSD_pp	3.765404135299768e-4	6.458203732265791e-4	-8.985968002118716e-4	0.0016516776272718252
FatalityRate	DemScore	-0.012009375081833237	0.042723048908814315	-0.09636371230406465	0.07234496214039818
FatalityRate	CPI	-0.030094700520938288	0.01859125044340764	-0.06680211371687751	0.006612712675000937
FatalityRate	WomanInParlia	-0.9941720772860123	1.8547974251987003	-4.656368748176183	2.668024593604158
FatalityRate	Income_pp	-2.2844775326993773e-5	2.001109648869851e-5	-6.235559734246149e-5	1.6666046688473945e-5
FatalityRate	BasicSaniAcc	-3.294117084563148	1.4307435682548812	-6.119042470686776	-0.4691916984395199
FatalityRate	PopDens	-8.277307855893238e-5	3.3004491972866176e-4	-7.344288280513786e-4	5.68882670933514e-4
